"brand","model","product_id","temperature_c","estimated_psi","point_status","reference_psi","reference_temperature_c","model_id","curve_group_id","silicone","sku","ean","confidence","inside_published_operating_range"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","-15","56.64","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","-14","58.62","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","-13","60.65","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","-12","62.73","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","-11","64.87","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","-10","67.07","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","-9","69.31","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","-8","71.62","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","-7","73.98","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","-6","76.39","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
"ASG Ultrair","Green Power Gas 135 PSI — siliconé","asg-ultrair-green-135-silicone","-5","78.87","extrapolated_propane_ratio","135","25","manufacturer_grid_piecewise_linear","asg-ultrair-135","yes","19893","5707843091152","high","false"
